강릉, ,20 이상, , ,13.4,-6.8,13.0, , ,24,동북동,
강진군, ,13.5, , ,9.2,-4.7,6.6, , ,37,서,
강화, ,20 이상, , ,6.8,-0.6,3.2, , ,59,서남서,
거제, ,20 이상, , ,9.7,-7.0,9.1, , ,30,서남서,
거창, ,20 이상, , ,11.1,-10.4,10.0, , ,21,서,
경주시, ,20 이상, , ,11.6,-11.9,9.8, , ,18,북서,
고산, ,20 이상, , ,8.9,-0.4,4.4, , ,52,북서,
고창, ,20 이상, , ,7.6,-6.5,4.5, , ,36,서,
고창군, ,20 이상, , ,7.8,-5.6,5.4, , ,38,서,
고흥, ,20 이상, , ,9.5,-6.0,6.7, , ,33,북서,
광양시, ,10.6, , ,11.2,-8.1,9.5, , ,25,서북서,
광주,맑음,20 이상,0,0,8.9,-6.9,7.7, , ,32,서북서,
구미, ,20 이상, , ,11.1,-11.0,10.4, , ,20,서북서,
군산, , , , ,6.5,-3.7,3.3, , ,48,서,
금산, ,20 이상, , ,7.9,-8.6,5.9, , ,30,북북서,
김해시, ,20 이상, , ,10.6,-10.2,9.0, , ,22,서북서,
남원, ,20 이상, , ,8.1,-8.0,7.0, , ,31,북,
남해, ,20 이상, , ,10.9,-6.9,9.7, , ,28,서남서,
대관령, ,20 이상, , ,5.4,-12.6,1.3, , ,26,서,
대구,구름조금,20 이상,3,1,10.7,-9.0,8.8, , ,24,북서,
대전,맑음,20 이상,0,0,9.5,-7.6,7.9, , ,29,서,
동두천, ,20 이상, , ,9.4,-7.7,7.6, , ,29,서남서,
동해, ,20 이상, , ,9.8,-4.5,9.2, , ,36,동,
목포,맑음,20 이상,0,0,6.9,-2.8,3.6, , ,50,북북서,
문경, ,20 이상, , ,8.4,-9.5,5.5, , ,27,서,
밀양, ,20 이상, , ,12.6,-13.4,12.4, , ,15,북서,
백령도,맑음,20 이상,0,0,7.9,-5.5,4.3, , ,38,서남서,
보령, ,20 이상, , ,8.0,-3.8,7.5, , ,43,서,
보성군, ,20 이상, , ,10.7,-4.1,7.7, , ,35,북서,
보은, ,20 이상, , ,7.6,-7.2,5.6, , ,34,서북서,
봉화, ,20 이상, , ,10.0,-10.7,7.6, , ,22,북서,
부산,구름조금,20 이상,3,0,12.0,-6.9,11.7, , ,26,서남서,
부안, ,20 이상, , ,7.7,-3.2,5.6, , ,46,서북서,
부여, ,20 이상, , ,10.0,-7.7,8.4, , ,28,서,
북강릉,맑음,19.8,0,0,11.1,-7.2,10.7, , ,27,동,
북창원, ,20 이상, , ,11.3,-9.1,10.1, , ,23,서북서,
북춘천,맑음,20 이상,0,0,8.9,-8.6,6.5, , ,28,남남서,
산청, ,20 이상, , ,10.9,-10.6,8.8, , ,21,북서,
상주, ,20 이상, , ,9.1,-8.9,6.6, , ,27,서,
서귀포,맑음,20 이상,0,0,11.6,-0.2,10.9, , ,44,남남서,
서산, ,16.2, , ,8.6,-5.2,6.1, , ,37,서남서,
서울,맑음,20 이상,0,0,8.1,-6.1,5.3, , ,36,남서,
성산, ,20 이상, , ,8.9,-2.1,6.5, , ,46,서,
세종, ,20 이상, , ,9.3,-12.5,7.7, , ,20,서남서,
속초, ,20 이상, , ,11.2,-12.3,9.5, , ,18,서,
수원,맑음,20 이상,0,0,7.6,-6.9,4.8, , ,35,서,
순창군, ,11.1, , ,7.9,-7.0,4.8, , ,34,북서,
순천, ,19.9, , ,8.8,-8.2,6.3, , ,29,북서,
안동,맑음,20 이상,0,0,9.4,-11.8,7.5, , ,21,서,
양산시, ,14.5, , ,12.7,-7.3,12.1, , ,24,서북서,
양평, ,19.4, , ,9.1,-9.4,7.6, , ,26,북서,
여수,맑음,20 이상,2,0,10.1,-6.7,7.2, , ,30,서남서,
영광군, ,19.1, , ,7.3,-5.1,4.9, , ,41,북북서,
영덕, ,19.9, , ,11.5,-8.4,10.2, , ,24,서남서,
영월, ,19.9, , ,9.2,-8.4,8.2, , ,28,서남서,
영주, ,19.8, , ,8.5,-9.0,5.0, , ,28,서북서,
영천, ,20 이상, , ,11.5,-10.1,10.4, , ,21,서북서,
완도, ,20 이상, , ,8.6,-3.2,6.5, , ,43,북서,
울릉도,구름조금,20 이상,5,5,8.7,2.2,8.0,0.0, ,64,동,
울산,구름조금,20 이상,5,0,11.7,-12.6,10.8, , ,17,서남서,
울진, ,20 이상, , ,9.1,-2.2,7.2, , ,45,동남동,
원주, ,19.2, , ,7.1,-8.9,5.2, , ,31,서,
의령군, ,20 이상, , ,12.1,-19.9,11.9, , ,9,남남동,
의성, ,20 이상, , ,10.7,-8.5,9.3, , ,25,서,
이천, ,20 이상, , ,9.5,-7.6,7.9, , ,29,서북서,
